19763709;176909223	5;1657473029
19763709;176909223	5;1657473029
8316515;54748900	5;1596789249
8316515;75307229	5;1623299884
8316515;145977549	5;1647305352
8316515;10772070	3;1606097662
19763709;181699673	5;1657472931
19763709;181699673	5;1657472931
19763709;167210784	5;1648546174
19763709;167210784	5;1648546174
19763709;187827005	5;1684128904
19763709;95289212	5;1636279975
19763709;95289212	5;1636279975
19763709;162832799	5;1648443988
19763709;162832799	5;1648443988
19763709;148760919	5;1641144302
19763709;148760919	5;1641144302
19763709;63924631	5;1636432062
19763709;63924631	5;1636432062
8316515;9687404	5;1616380843
8316515;157240667	5;1644304088
19763709;148761078	5;1641898436
19763709;148761078	5;1641898436
8316515;74021318	5;1695731928
19763709;127077158	5;1636700852
19763709;127077158	5;1636700852
19763709;71345382	5;1636280045
8316515;71345382	5;1606785427
19763709;76278486	1;1613533095
8316515;90887878	5;1642131520
19763709;149089471	5;1641291313
19763709;149089471	5;1641291313
19763709;57761619	5;1647339133
19763709;109018531	5;1628523518
19763709;109018531	5;1628523518
19763709;35191894	5;1617174506
8316515;48329800	5;1620114936
19763709;103550552	5;1629201688
19763709;103550552	5;1629201688
19763709;77105731	5;1636203576
19763709;147920904	5;1644258047
8316515;113530807	5;1676767181
17741893;58804369	5;1637418047
23096572;11357194	5;1635219324
23096572;4781791	5;1644390373
21584134;69764536	5;1652453410
23096572;68585577	5;1677255236
17741893;26114400	5;1689765034
21584134;90056908	5;1625208931
21584134;7369225	5;1630484858
23096572;51830751	5;1666773013
23096572;8885996	5;1636117657
23096572;2496329	5;1634303515
21584134;110448023	5;1644477015
17741893;152522280	5;1692190945
17741893;152522280	5;1692190945
21584134;79672198	5;1654195271
23096572;147999780	5;1658123629
21584134;115437042	5;1674025815
17741893;168234715	5;1666785730
23096572;117595539	5;1636117112
17741893;94173463	5;1624004307
21584134;94173463	5;1628787933
23096572;189643110	5;1666773018
23096572;73787186	5;1636117307
17741893;3304877	5;1666785752
17741893;52798282	5;1692190953
17741893;52798282	5;1692190953
21584134;143226164	5;1654195311
