684590;35283864	5;1622946660
684590;71090269	5;1638841663
684590;50751280	5;1593690166
684590;65029082	5;1638841658
684590;149089471	5;1640413162
684590;72628054	5;1664198871
8508799;4781791	5;1682387459
8508799;174444165	5;1677937308
8508799;184629091	5;1678158957
8508799;100947275	5;1683511644
8508799;147999780	5;1676537299
8508799;52329862	5;1682578819
8508799;145288028	5;1684902941
8508799;63587073	5;1677225488
8508799;14645352	5;1682578797
8508799;46837055	5;1681626329
8508799;94173463	5;1621008035
8508799;87389630	5;1680679342
8508799;73787186	5;1682578839
8508799;152740749	5;1678258686
8508799;3304877	5;1682387452
8508799;130233546	4;1679971613
8508799;13419679	5;1677937313
8508799;155463015	4;1679490435
8508799;176550322	5;1678158959
8508799;52788073	5;1682387467
8508799;184466861	5;1680160269
8508799;183058544	5;1679490444
8508799;103379149	5;1683342782
8508799;181122318	5;1685156773
8508799;181122318	5;1685156773
8508799;52805061	5;1682387409
8508799;872753	5;1683095330
8508799;8886002	5;1682387437
8508799;106863965	5;1685337427
8508799;41299109	5;1677472103
8508799;54624821	5;1677150705
8508799;70016693	5;1682387416
8508799;168293267	4;1685074339
8508799;187827446	5;1677225478
8508799;100376370	5;1680230068
8508799;150712000	5;1678072487
8508799;176909223	5;1685156811
8508799;100958460	5;1677472098
8508799;102629343	5;1680160262
8508799;14674575	5;1685337408
8508799;126743460	5;1678684744
8508799;111290701	5;1683095323
8508799;145977549	5;1678330145
8508799;3876679	5;1685074366
8508799;187338037	5;1685074347
8508799;66619716	5;1685337395
8508799;121185873	5;1684902949
8508799;45663009	5;1685074419
8508799;163703152	5;1680160267
8508799;8886000	5;1683511671
8508799;187827005	5;1677556527
8508799;168283407	5;1685074393
8508799;184070224	5;1679490441
8508799;116397451	5;1685337388
8508799;66712457	5;1677937300
8508799;52329767	5;1683342768
8508799;196392403	5;1685156789
8508799;196392403	5;1685156789
8508799;52329766	5;1683342775
8508799;71090269	5;1678072496
8508799;19792257	5;1682578833
8508799;50269974	5;1685074399
8508799;72001058	5;1685074358
8508799;172206435	5;1678762185
8508799;193916833	5;1685074352
8508799;193916833	5;1685074352
8508799;77900455	5;1677472100
8508799;74021318	5;1682387444
8508799;120219395	5;1682387401
8508799;193099632	5;1680679368
8508799;127077158	5;1683511638
8508799;8886008	5;1682387429
8508799;170490711	5;1685156796
8508799;76278486	5;1684902932
8508799;69644749	5;1677937311
8508799;14053725	5;1684902962
8508799;152875148	5;1677472090
8508799;57761619	5;1684902956
8508799;52785565	5;1683511658
8508799;641942	5;1683511665
8508799;42230122	5;1678158961
8508799;49747008	5;1683095363
8508799;137241848	5;1683511630
8508799;129381091	5;1680679357
8508799;50414369	5;1684902969
8508799;179546673	5;1682501594
8508799;149257066	5;1677937306
8508799;12377499	5;1682578826
8508799;73795266	5;1677472095
8508799;58828013	5;1680230063
8508799;58828013	5;1680230063
8508799;142002265	5;1677150698
8508799;127844386	5;1685337415
8508799;94173459	5;1682578804
8508799;35191894	5;1677856438
8508799;21031781	5;1685074413
8508799;161008718	5;1677150708
9165;10227149	5;1695183372
9165;147058066	5;1694991725
9165;68585577	5;1695217616
9165;92859699	5;1695172886
9165;145288028	5;1705210168
